date,node,country,transport,version,lower,upper,clients,frac
2017-10-01,bridge,lv,,,,,58,66
2017-10-01,bridge,ly,,,,,20,66
2017-10-01,bridge,ma,,,,,109,66
2017-10-01,bridge,mc,,,,,2,66
2017-10-01,bridge,md,,,,,37,66
2017-10-01,bridge,me,,,,,3,66
2017-10-01,bridge,mf,,,,,0,66
2017-10-01,bridge,mg,,,,,6,66
2017-10-01,bridge,mk,,,,,5,66
2017-10-01,bridge,ml,,,,,3,66
2017-10-01,bridge,mm,,,,,5,66
2017-10-01,bridge,mn,,,,,10,66
2017-10-01,bridge,mo,,,,,3,66
2017-10-01,bridge,mq,,,,,6,66
2017-10-01,bridge,mr,,,,,3,66
2017-10-01,bridge,mt,,,,,5,66
2017-10-01,bridge,mu,,,,,6,66
2017-10-01,bridge,mv,,,,,5,66
2017-10-01,bridge,mw,,,,,1,66
2017-10-01,bridge,mx,,,,,232,66
2017-10-01,bridge,my,,,,,113,66
2017-10-01,bridge,mz,,,,,4,66
2017-10-01,bridge,na,,,,,2,66
2017-10-01,bridge,ne,,,,,4,66
2017-10-01,bridge,ng,,,,,88,66
2017-10-01,bridge,ni,,,,,5,66
2017-10-01,bridge,nl,,,,,464,66
2017-10-01,bridge,no,,,,,77,66
2017-10-01,bridge,np,,,,,8,66
2017-10-01,bridge,nz,,,,,56,66
2017-10-01,bridge,om,,,,,49,66
2017-10-01,bridge,pa,,,,,11,66
2017-10-01,bridge,pe,,,,,42,66
2017-10-01,bridge,pf,,,,,0,66
2017-10-01,bridge,pg,,,,,6,66
2017-10-01,bridge,ph,,,,,120,66
2017-10-01,bridge,pk,,,,,102,66
2017-10-01,bridge,pl,,,,,253,66
2017-10-01,bridge,pr,,,,,3,66
2017-10-01,bridge,ps,,,,,11,66
2017-10-01,bridge,pt,,,,,75,66
2017-10-01,bridge,py,,,,,9,66
2017-10-01,bridge,qa,,,,,42,66
2017-10-01,bridge,re,,,,,10,66
2017-10-01,bridge,ro,,,,,169,66
2017-10-01,bridge,rs,,,,,33,66
2017-10-01,bridge,ru,,,,,7054,66
2017-10-01,bridge,rw,,,,,6,66
2017-10-01,bridge,sa,,,,,397,66
2017-10-01,bridge,sb,,,,,1,66
2017-10-01,bridge,sc,,,,,6,66
2017-10-01,bridge,sd,,,,,23,66
2017-10-01,bridge,se,,,,,207,66
2017-10-01,bridge,sg,,,,,96,66
2017-10-01,bridge,si,,,,,24,66
2017-10-01,bridge,sk,,,,,35,66
2017-10-01,bridge,sl,,,,,1,66
2017-10-01,bridge,sn,,,,,3,66
2017-10-01,bridge,so,,,,,5,66
2017-10-01,bridge,sr,,,,,5,66
2017-10-01,bridge,ss,,,,,1,66
2017-10-01,bridge,st,,,,,2,66
2017-10-01,bridge,sv,,,,,15,66
2017-10-01,bridge,sx,,,,,3,66
2017-10-01,bridge,sy,,,,,14,66
2017-10-01,bridge,sz,,,,,1,66
2017-10-01,bridge,td,,,,,2,66
2017-10-01,bridge,tg,,,,,4,66
2017-10-01,bridge,th,,,,,67,66
2017-10-01,bridge,tj,,,,,7,66
2017-10-01,bridge,tl,,,,,0,66
2017-10-01,bridge,tm,,,,,63,66
2017-10-01,bridge,tn,,,,,50,66
2017-10-01,bridge,tr,,,,,3174,66
2017-10-01,bridge,tt,,,,,4,66
2017-10-01,bridge,tw,,,,,62,66
2017-10-01,bridge,tz,,,,,7,66
2017-10-01,bridge,ua,,,,,3088,66
2017-10-01,bridge,ug,,,,,10,66
2017-10-01,bridge,us,,,,,5133,66
2017-10-01,bridge,uy,,,,,17,66
2017-10-01,bridge,uz,,,,,98,66
2017-10-01,bridge,va,,,,,0,66
2017-10-01,bridge,vc,,,,,1,66
2017-10-01,bridge,ve,,,,,40,66
2017-10-01,bridge,vg,,,,,1,66
2017-10-01,bridge,vn,,,,,96,66
2017-10-01,bridge,vu,,,,,1,66
2017-10-01,bridge,xk,,,,,2,66
2017-10-01,bridge,ye,,,,,71,66
2017-10-01,bridge,za,,,,,107,66
2017-10-01,bridge,zm,,,,,6,66
2017-10-01,bridge,zw,,,,,15,66
